NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:26:38	226676.59644540
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2195.234	829.732	1008.605	-2215.389	585.791	1016.654	-2183.401	635.870	484.908	-2220.466	539.450	509.072	-2555.007	673.670	254.525	-2516.716	607.284	243.072	-2402.214	553.227	54.638	-2386.333	712.295	1007.482
-2190.396	832.071	1007.167	-2211.882	586.241	1017.195	-2175.832	636.234	486.230	-2212.878	539.764	510.002	-2544.674	673.302	250.169	-2506.180	606.807	240.170	-2387.618	552.381	54.005	-2383.074	712.441	1007.867
-2189.037	830.475	1007.950	-2208.707	586.644	1017.861	-2168.644	636.680	487.389	-2206.117	540.272	510.772	-2534.697	672.391	246.388	-2493.657	606.221	237.031	-2372.526	551.304	53.688	-2379.827	712.526	1008.236
-2185.770	831.314	1007.590	-2205.304	587.004	1018.300	-2161.695	637.177	488.392	-2198.070	540.532	511.927	-2524.281	671.650	242.181	-2484.227	605.604	233.773	-2357.321	550.154	53.518	-2376.655	712.632	1008.488
-2180.818	832.877	1006.984	-2201.958	587.433	1018.693	-2154.245	637.603	489.700	-2190.695	540.928	512.771	-2513.652	671.118	237.474	-2471.675	605.067	230.541	-2342.186	549.253	53.303	-2373.494	712.682	1008.701
-2177.697	833.143	1006.856	-2198.726	587.785	1018.882	-2146.783	637.939	490.846	-2183.334	541.329	513.627	-2499.677	672.660	232.965	-2460.283	604.204	227.118	-2326.906	548.258	52.898	-2370.403	712.702	1008.838
-2174.760	833.413	1006.669	-2195.407	588.128	1019.225	-2139.499	638.385	492.156	-2176.096	541.782	514.444	-2488.718	671.518	228.434	-2448.996	603.540	223.549	-2315.317	547.714	51.182	-2367.286	712.721	1008.925
-2171.757	833.965	1006.029	-2192.753	587.970	1019.958	-2132.259	638.890	493.409	-2168.724	542.186	515.156	-2477.730	670.425	223.962	-2437.420	602.840	219.925	-2299.765	546.584	50.878	-2364.104	712.729	1008.871
-2168.913	834.275	1005.711	-2188.853	589.028	1019.632	-2125.127	639.414	494.687	-2161.626	542.604	516.033	-2466.396	670.294	218.540	-2425.765	601.921	216.305	-2284.198	545.322	50.623	-2361.020	712.748	1008.711
-2167.564	833.375	1006.168	-2185.439	589.414	1019.791	-2117.931	639.891	495.916	-2154.452	543.050	516.867	-2454.610	673.732	211.151	-2413.899	601.090	212.544	-2268.681	544.077	50.564	-2357.897	712.698	1008.578
-2164.610	834.011	1005.389	-2182.241	589.793	1019.768	-2110.718	640.355	497.093	-2147.363	543.489	517.597	-2443.211	668.647	208.417	-2402.003	600.200	208.648	-2253.041	542.843	50.203	-2354.852	712.702	1008.340
