NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	544.833	279.554	497.764	426.661	188.374	519.854	337.880	294.381	129.676	264.902	240.262	133.647	205.349	327.709	27.989	465.834	120.191	62.440	105.787	602.359	717.005
0.000	0.000	0.000	544.792	279.816	497.710	426.715	188.606	519.849	337.806	294.307	129.811	264.781	240.273	133.633	205.311	327.719	27.965	465.851	120.216	62.476	105.628	602.284	717.425
0.000	0.000	0.000	544.796	280.094	497.697	426.741	188.833	519.894	337.771	294.335	129.769	264.863	240.263	133.692	205.300	327.711	27.962	465.811	120.263	62.489	105.509	602.186	717.878
0.000	0.000	0.000	544.737	280.368	497.656	426.823	188.981	519.883	337.762	294.408	129.639	264.850	240.249	133.658	205.289	327.740	27.887	465.842	120.261	62.512	105.423	602.012	718.369
0.000	0.000	0.000	544.685	280.606	497.627	426.854	189.161	519.903	337.763	294.441	129.636	264.682	240.326	133.591	205.266	327.722	27.872	465.842	120.260	62.532	105.382	601.939	718.679
0.000	0.000	0.000	544.572	280.872	497.574	426.931	189.295	519.914	337.686	294.342	129.763	264.691	240.213	133.551	205.258	327.714	27.853	465.821	120.297	62.530	105.384	601.877	719.103
0.000	0.000	0.000	544.507	281.070	497.528	427.023	189.448	519.927	337.701	294.432	129.585	264.707	240.223	133.555	205.235	327.664	27.832	465.826	120.292	62.512	105.359	601.752	719.539
0.000	0.000	0.000	544.468	281.299	497.531	426.973	189.625	520.013	337.627	294.341	129.758	264.639	240.188	133.435	205.243	327.649	27.823	465.832	120.285	62.547	105.342	601.649	720.042
0.000	0.000	0.000	544.400	281.503	497.468	427.026	189.761	520.015	337.626	294.366	129.748	264.587	240.197	133.442	205.210	327.639	27.810	465.816	120.306	62.543	105.318	601.567	720.411
0.000	0.000	0.000	544.365	281.721	497.453	427.114	189.870	519.985	337.634	294.453	129.595	264.591	240.200	133.479	205.237	327.659	27.771	465.869	120.319	62.588	105.308	601.515	720.771
