NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:29:21	226839.36048560
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	111.158	608.767	547.754	445.007	578.147	422.191	401.564	477.826	432.490	162.120	575.394	82.417	214.791	517.660	105.967	415.398	456.368	56.051	-62.248	721.799	581.508
0.000	0.000	0.000	111.119	608.754	547.787	444.934	578.133	422.231	401.466	477.824	432.510	162.060	575.382	82.436	214.793	517.678	105.956	415.351	456.378	56.047	-62.263	721.795	581.582
0.000	0.000	0.000	111.050	608.708	547.861	444.858	578.089	422.292	401.378	477.798	432.555	162.040	575.370	82.450	214.760	517.676	105.957	415.335	456.391	56.036	-62.301	721.809	581.718
0.000	0.000	0.000	110.999	608.641	547.913	444.812	578.070	422.330	401.319	477.794	432.596	162.055	575.410	82.402	214.702	517.653	105.961	415.344	456.378	56.064	-62.323	721.843	581.862
0.000	0.000	0.000	110.927	608.623	547.931	444.787	578.069	422.439	401.225	477.761	432.620	162.051	575.414	82.435	214.734	517.623	105.957	415.367	456.369	56.100	-62.413	721.724	582.016
0.000	0.000	0.000	110.876	608.545	548.020	444.636	577.975	422.363	401.179	477.668	432.663	162.072	575.355	82.443	214.745	517.615	105.936	415.343	456.358	56.097	-62.467	721.687	582.114
0.000	0.000	0.000	110.868	608.489	548.104	444.587	577.964	422.471	401.142	477.627	432.715	162.045	575.302	82.427	214.661	517.533	105.996	415.333	456.331	56.070	-62.479	721.663	582.245
0.000	0.000	0.000	110.787	608.519	548.153	444.468	577.902	422.457	401.049	477.574	432.721	162.046	575.317	82.419	214.706	517.553	105.977	415.325	456.338	56.120	-62.527	721.638	582.371
0.000	0.000	0.000	110.749	608.434	548.238	444.430	577.896	422.536	400.961	477.558	432.752	162.002	575.326	82.360	214.696	517.512	105.976	415.267	456.268	56.147	-62.572	721.611	582.485
0.000	0.000	0.000	110.731	608.373	548.326	444.362	577.846	422.551	400.880	477.534	432.785	162.003	575.368	82.420	214.648	517.580	105.959	415.306	456.367	56.243	-62.607	721.648	582.620
0.000	0.000	0.000	110.591	608.429	548.414	444.326	577.833	422.646	400.754	477.543	432.822	161.995	575.353	82.347	214.622	517.607	105.946	415.298	456.390	56.249	-62.622	721.689	582.758
0.000	0.000	0.000	110.557	608.374	548.496	444.255	577.781	422.723	400.659	477.501	432.843	161.959	575.379	82.363	214.639	517.593	105.962	415.285	456.420	56.258	-62.666	721.707	582.896
0.000	0.000	0.000	110.499	608.330	548.588	444.139	577.732	422.755	400.573	477.489	432.865	161.969	575.333	82.371	214.605	517.594	105.972	415.285	456.390	56.281	-62.705	721.695	583.051
0.000	0.000	0.000	110.477	608.332	548.671	444.041	577.673	422.816	400.523	477.418	432.931	161.973	575.355	82.383	214.582	517.543	105.948	415.259	456.364	56.295	-62.743	721.629	583.136
0.000	0.000	0.000	110.354	608.295	548.753	443.963	577.627	422.855	400.433	477.361	432.977	161.958	575.330	82.382	214.588	517.499	105.939	415.260	456.325	56.331	-62.784	721.619	583.245
0.000	0.000	0.000	110.421	608.172	548.985	443.853	577.562	422.870	400.394	477.272	433.048	161.921	575.235	82.377	214.569	517.435	105.954	415.282	456.316	56.374	-62.817	721.574	583.374
0.000	0.000	0.000	110.265	608.205	549.084	443.831	577.550	422.938	400.268	477.276	433.069	161.923	575.234	82.380	214.589	517.436	105.926	415.296	456.308	56.390	-62.763	721.555	583.584
0.000	0.000	0.000	110.323	608.087	549.242	443.752	577.512	422.971	400.184	477.255	433.117	161.930	575.272	82.369	214.526	517.452	105.906	415.275	456.325	56.387	-62.819	721.584	583.705
0.000	0.000	0.000	110.212	608.109	549.355	443.707	577.480	423.008	400.089	477.258	433.164	161.914	575.303	82.353	214.502	517.486	105.973	415.280	456.337	56.419	-62.854	721.606	583.837
0.000	0.000	0.000	110.153	608.116	549.451	443.657	577.457	423.046	400.006	477.258	433.188	161.868	575.343	82.361	214.495	517.532	105.934	415.194	456.317	56.399	-62.895	721.602	583.964
0.000	0.000	0.000	110.175	608.039	549.602	443.607	577.447	423.086	399.914	477.265	433.191	161.873	575.310	82.326	214.516	517.515	105.927	415.228	456.359	56.418	-62.931	721.561	584.121
0.000	0.000	0.000	110.151	608.051	549.700	443.574	577.420	423.152	399.894	477.187	433.235	161.915	575.291	82.321	214.499	517.441	105.911	415.223	456.366	56.439	-63.027	721.440	584.303
0.000	0.000	0.000	110.149	607.967	549.849	443.514	577.410	423.137	399.844	477.178	433.268	161.915	575.271	82.318	214.459	517.399	105.944	415.254	456.327	56.429	-63.098	721.375	584.399
0.000	0.000	0.000	110.081	608.013	549.891	443.464	577.384	423.151	399.803	477.125	433.299	161.909	575.250	82.314	214.480	517.404	105.913	415.256	456.322	56.438	-63.083	721.323	584.528
0.000	0.000	0.000	110.101	607.884	550.079	443.415	577.412	423.181	399.726	477.179	433.292	161.910	575.262	82.302	214.538	517.412	105.881	415.242	456.311	56.436	-63.115	721.303	584.646
0.000	0.000	0.000	110.014	607.908	550.161	443.354	577.412	423.177	399.688	477.198	433.331	161.893	575.283	82.311	214.494	517.426	105.944	415.229	456.331	56.469	-63.069	721.308	584.832
0.000	0.000	0.000	109.967	607.900	550.214	443.306	577.433	423.221	399.634	477.268	433.312	161.905	575.312	82.293	214.491	517.501	105.868	415.249	456.383	56.458	-63.082	721.305	584.922
0.000	0.000	0.000	109.921	607.867	550.273	443.244	577.468	423.216	399.624	477.296	433.371	161.865	575.290	82.324	214.532	517.503	105.907	415.209	456.398	56.481	-63.116	721.332	585.039
